event_name,city,state,county,distance_mi,trip_type,month,typical_dates,attendance,food_vendor_fee,application_method,contact,url,status,notes,last_verified
Highland Farms Country Fest,Elizabethtown,KY,Hardin,330,,September,Labor Day weekend (2026),,Not researched,Vendor info via highlandfarmscountryfest.com/contact,highlandfarmscountryfest.com,highlandfarmscountryfest.com,Verified - food vendors,"Country music festival at Highland Sod Farms, Elizabethtown: food trucks welcome & beverage tents. Hardin Co. KY.",2026-06-18
Seymour Oktoberfest,Seymour,IN,Jackson,390,,October,Oct 1-3 (2026),,Not researched,Vendor info via seymouroktoberfest.com/vendor-faq,seymouroktoberfest.com,seymouroktoberfest.com,Verified - food vendors,"Seymour Oktoberfest, Indiana: 75+ food booths, carnival, German fest. Jackson Co. IN.",2026-06-18
West Side Nut Club Fall Festival,Evansville,IN,Vanderburgh,230,,October,First full week of October 2026,,Not researched,Via nutclubfallfestival.com / West Side Nut Club,nutclubfallfestival.com,nutclubfallfestival.com,Verified,"One of the largest US street festivals, Evansville: 137+ food booths run by nonprofits; independent outside food vendors not accepted (weak fit). Vanderburgh Co. IN.",2026-06-18
ShrinersFest,Evansville,IN,Vanderburgh,230,,May,May 29-30 (2026),,Not researched,Vendor info via shrinersfest.org,shrinersfest.org,shrinersfest.org,Verified - food vendors,"Hadi ShrinersFest, Evansville riverfront: food trucks welcome, beer garden, air show, rides. Vanderburgh Co. IN.",2026-06-18
Frog Follies,Evansville,IN,Vanderburgh,230,,August,Aug 28-30 (2026),,Not researched,N/A - food handled internally by E'ville Iron Street Rods,frogfollies.org,frogfollies.org,Verified,"Street rod show, Evansville: food booths run by charities; no independent food vendors accepted (poor fit). Vanderburgh Co. IN.",2026-06-18
Mt. Vernon Fall Fest,Mt. Vernon,IL,Jefferson,165,,September,Sep 25-26 (2026),,$150/booth,Food vendor application via mtvfestivals.com/fall-fest (Eventeny; committee-selected),mtvfestivals.com,mtvfestivals.com,Verified - food vendors,"Mt. Vernon Fall Fest: car show, kids zone, marketplace, food & drink vendors, parade, music. Jefferson Co. IL.",2026-06-18
W.C. Handy Blues & Barbecue Festival,Henderson,KY,Henderson,235,,June,Jun 17-20 (2026),,Not researched,Food vendor application via handyblues.org/become-a-vendor (deadline Apr 14; selective),handyblues.org,handyblues.org,Verified - food vendors,"W.C. Handy Blues & Barbecue Festival, Henderson: blues + BBQ, food vendors (selection committee, local priority). Henderson Co. KY.",2026-06-18
BBQ & Barrels (International Bar-B-Q Festival),Owensboro,KY,Daviess,270,,May,May 8-9 (2026),,Not researched,Vendor application via bbqandbarrels.com/vendors,bbqandbarrels.com,bbqandbarrels.com,Verified - food vendors,"BBQ & Barrels (formerly Int'l Bar-B-Q Festival), downtown Owensboro: church cook teams, music, food vendors; outdoor spaces full for 2026. Daviess Co. KY.",2026-06-18
Ethnic Expo,Columbus,IN,Bartholomew,420,,October,Oct 9-10 (2026),,Not researched,Food vendor application via ethnicexpo.org/vendor-information,ethnicexpo.org,ethnicexpo.org,Verified - food vendors,"Ethnic Expo, downtown Columbus IN: international food & culture festival. Bartholomew Co. IN.",2026-06-18
Bowling Green International Festival,Bowling Green,KY,Warren,370,,September,Sep 26 (2026),,Not researched,Vendor info via bginternationalfest.com (Eventbrite),bginternationalfest.com,bginternationalfest.com,Verified - food vendors,"Bowling Green International Festival (36th), Circus Square Park: international foods, bazaar, music/dance. Warren Co. KY.",2026-06-18
West Tennessee State Fair,Henderson,TN,Chester,330,,October,Oct 16-25 (2026),,Not researched,Food vendor application via wtsfair.com (Show Director Mike Peery),wtsfair.com,wtsfair.com,Verified - food vendors,"West Tennessee State Fair, Henderson: rides, livestock, ~50 food booths. Chester Co. TN.",2026-06-18
West Memphis Freedom Fest,West Memphis,AR,Crittenden,280,,June,Late June 2026 (around July 4),,Not researched,Vendor info via City of West Memphis (schristian@citywm.com / 877-732-7598),schristian@citywm.com / 877-732-7598,visitwestmemphis.com,Verified - food vendors,"West Memphis Freedom Fest, Tilden Rodgers Park: fireworks, live music, food vendors. Crittenden Co. AR.",2026-06-18
Broadway Food Truck Fest,West Memphis,AR,Crittenden,280,,June,Jun 6 (2026),,Not researched,,,visitwestmemphis.com,Verified - food trucks,"Downtown food-truck festival; food trucks welcome. Corridor lightweight capture — confirm food-truck fit, fee & application.",2026-06-18
Johnson County Peach Festival,Clarksville,AR,Johnson,370,,July,Jul 16-18 (2026),,Not researched,Vendor application via jocopeachfest.com/vendors (479-754-9152),479-754-9152,jocopeachfest.com,Verified - food vendors,"Johnson County Peach Festival, Clarksville: home cookin', peach treats, food & craft vendors. Johnson Co. AR.",2026-06-18
Pope County Fair,Russellville,AR,Pope,340,,September,Sep 15-19 (2026),,Not researched,Vendor info via popecountyfair.com/commercialbooth (479-857-5744),479-857-5744,popecountyfair.com,Verified - food vendors,"Pope County Fair, Russellville: carnival, food & commercial vendors, arts/crafts. Pope Co. AR.",2026-06-18
Huff 'n Puff Hot Air Balloon Rally,Topeka,KS,Shawnee,190,,September,Early-mid September 2026 (TBD; 2025 was Sep 5-7),,Not researched,Vendor info via huff-n-puff.org,huff-n-puff.org,huff-n-puff.org,Verified - food vendors,"Huff 'n Puff Hot Air Balloon Rally, Topeka (50+ yrs): balloons, food trucks, craft vendors. Shawnee Co. KS.",2026-06-18
Fiesta Topeka (Fiesta Mexicana),Topeka,KS,Shawnee,190,,July,Jul 14-18 (2026),,"$1,000 / 10x10 (food)",Vendor application via fiestatopeka.com/partner-vendor-information,fiestatopeka.com,fiestatopeka.com,Verified - food vendors,"Fiesta Topeka (93 yrs), Our Lady of Guadalupe grounds: Mexican food & culture festival. Shawnee Co. KS.",2026-06-18
Mulvane Mountain/Plains Art Fair,Topeka,KS,Shawnee,190,,June,Jun 6-7 (2026),,Not researched,Vendor info via mulvaneartmuseum.org/artfair,mulvaneartmuseum.org,mulvaneartmuseum.org,Verified - food vendors,"Mulvane Art Fair, Washburn University Topeka: 85+ juried artists, beer garden, food trucks welcome. Shawnee Co. KS.",2026-06-18
Lawrence Busker Festival,Lawrence,KS,Douglas,165,,May,May 22-24 (2026),,Not researched,Food vendor application via lawrencebuskerfest.com/vendor1 (Eventeny),lawrencebuskerfest.com,lawrencebuskerfest.com,Verified - food vendors,Downtown Lawrence street-performer festival (Memorial Day weekend): food vendors of all kinds. Douglas Co. KS.,2026-06-18
Great American Market,Emporia,KS,Lyon,210,,September,Sep 12 (2026),,Not researched,Vendor info via emporiamainstreet.com (620-340-6430),620-340-6430,emporiamainstreet.com,Verified - food vendors,"Great American Market, downtown Emporia: 6-block market, food trucks welcome (tacos, burgers, sweets). Lyon Co. KS.",2026-06-18
Kansas Veterans Festival,El Dorado,KS,Butler,290,,June,Jun 19-21 (2026),,Not researched,Food truck/vendor application via kansasveteransfestival.org/vendorinfo,kansasveteransfestival.org,kansasveteransfestival.org,Verified - food vendors,"Kansas Veterans Festival at El Dorado Lake: live music, car show, BBQ comp, food trucks welcome, craft vendors. Butler Co. KS.",2026-06-18
Gold Fest,El Dorado,KS,Butler,290,,September,Sep 24-26 (2026),,Not researched,Food vendor application via experienceeldo.com/gold-fest-vendor (KS food license + $1M liability req'd),experienceeldo.com,experienceeldo.com,Verified - food vendors,"Gold Fest, downtown El Dorado: block party, food court, Main Street market. Butler Co. KS.",2026-06-18
Washington Town & Country Fair,Washington,MO,Franklin,95,,August,Aug 5-9 (2026),,Not researched,Concessions committee; fillable PDF app at washmofair.com/merchants,concessions@washmofair.com / 636-239-2715,washmofair.com,Verified,"One of Missouri's largest fairs (grandstand, livestock, midway). Does NOT typically allow outside food vendors; concessions selective (weak fit for trucks). Franklin Co.",2026-06-18
Art Fair & Winefest,Washington,MO,Franklin,95,,May,May 15-17 (2026),,Not researched,Vendor info via Downtown Washington Inc.,director@downtownwashmo.org / 636-239-1743,downtownwashmo.org,Verified - food vendors,"45th yr; historic downtown: 65+ wines, art, live music, food vendors; free admission. Organizer Downtown Washington Inc. Franklin Co.",2026-06-18
Fall Festival of the Arts & Crafts,Washington,MO,Franklin,95,,September,Sep 25-27 (2026),,Not researched,Vendor info via Downtown Washington Inc.,director@downtownwashmo.org / 636-239-1743,downtownwashmo.org,Verified - food vendors,Downtown Washington arts/crafts festival with a food court all weekend. Organizer Downtown Washington Inc. Franklin Co.,2026-06-18
Warren County Fair,Warrenton,MO,Warren,75,,June,Jun 24-27 (2026),,Not researched,Vendor/concession info via warrencountyfairgrounds.com or Warren County Fair-MO Facebook,warrencountyfairgrounds.com,warrencountyfairgrounds.com,Verified - food vendors,"Warren County Fairgrounds: livestock, carnival, rodeo, fireworks, food vendors. Warren Co.",2026-06-18
Franklin County Fair,Union,MO,Franklin,100,,June,Jun 11-14 (2026),,Not researched,Vendor application at fcfair.org/vendorapp (also unionfair.org/vendors),Franklinmocountyfair@gmail.com,franklincountyfair.org,Verified - food vendors,"Franklin County Youth Fair, Union fairgrounds: rides, games, food vendors; 2026 vendor rules/contracts posted. Franklin Co.",2026-06-18
Meramec Community Fair,Sullivan,MO,Franklin,110,,June,Late June 2026 (TBD; 2025 was Jun 24-28),,Not researched,Vendor/concession info via merameccommunityfair.com,merameccommunityfair.com,merameccommunityfair.com,Verified - food vendors,"Sullivan community fair: motocross, livestock, midway, food booths, main stage. Franklin Co.",2026-06-18
Route 66 BBQ & Bluegrass Festival,Pacific,MO,Franklin,105,,June,Jun 20-22 (2026),,Not researched,Food/beverage vendors on Vendor Row (first-come) via City of Pacific,636-271-0500,pacificmissouri.com,Verified - food vendors,"Route 66 BBQ Battle & Bluegrass, Liberty Field, Pacific: sanctioned pro BBQ comp, live music, Kid Zone, Vendor Row. Franklin Co.",2026-06-18
Pacific Car Show & Block Party,Pacific,MO,Franklin,105,,June,Jun 27 (2026),,Not researched,Vendor info via City of Pacific (pacificmo.org/event/pacific-car-show),636-271-0500,pacificmo.org,Verified - food vendors,Downtown Pacific car show & block party with food vendors. Franklin Co.,2026-06-18
St. Clair Pickin' on Picknic Festival,St. Clair,MO,Franklin,105,,July,Mid-July 2026 (TBD; 2025 was Jul 10-13),,Not researched,Food & craft vendor info via pickinfestival.com,info@pickinfestival.com / 314-270-2233,pickinfestival.com,Verified - food vendors,"Bluegrass/Americana/folk music festival at Lost Hill Lake, St. Clair: food & craft vendors (cash recommended). Franklin Co.",2026-06-18
Twin City Days,Festus,MO,Jefferson,135,,September,Sep 12 (2026),,Not researched,Booth application via Twin City Area Chamber (twincitychamber.com/twin-city-days),636-931-7697,twincitychamber.com,Verified,"Festus/Crystal City Chamber craft fair, Sep, 9a-3p; primarily craft booths ($50 10x10 early-bird). Food-vendor fit limited (weak fit). Jefferson Co.",2026-06-18
Festus Art & Music Festival,Festus,MO,Jefferson,135,,May,May 2-3 (2026),,Not researched,Vendor info via Festus Main Street,festusmainstreet.org,festusmainstreet.org,Verified - food trucks,"Downtown Festus art & music fest (now 2 days): food trucks welcome + Main St food court tent, pub crawl, live music. Jefferson Co.",2026-06-18
De Soto Fall Festival,De Soto,MO,Jefferson,135,,September,Sep 19 (2026),,Not researched,Vendor info via De Soto Chamber (desotomochamber.com/event/fall-festival),desotomochamber.com,desotomochamber.com,Verified - food vendors,"35th annual De Soto Main St fest: ~100 exhibitors, 10 food booths, activities; 9a-4p. Jefferson Co.",2026-06-18
Fountain City Jazz Fest,De Soto,MO,Jefferson,135,,March,Late March 2026 (HS jazz competition),,Not researched,Via De Soto School District band program,desotobands.weebly.com,,Verified,"Indoor high-school jazz competition at De Soto HS auditorium (16 schools); free daytime, ticketed finale. Not a food-vending venue (poor fit). Jefferson Co.",2026-06-18
Jefferson County Fair,Hillsboro,MO,Jefferson,130,,July,Mid-July 2026 (TBD; 2025 was Jul 17-20),,Not researched,Vendor applications via jeffersoncountyfair.net,636-797-3900,jeffersoncountyfair.net,Verified - food vendors,"4-day county fair at Jefferson County Fairgrounds, Hillsboro: rodeo, carnival, food vendors; vendor apps open. Jefferson Co.",2026-06-18
Arnold Days,Arnold,MO,Jefferson,125,,September,Late September 2026 (TBD; 2025 was Sep 20-22),,Not researched,Food vendor application (PDF) via City of Arnold (arnoldmo.org),636-282-2380,arnoldmo.org,Verified - food vendors,"Arnold City Park (since 1973): parade, music, concessions, crafts, rides, car show, fireworks. Jefferson Co.",2026-06-18
Augusta Wine & Jazz Festival,Augusta,MO,St. Charles,85,,June,Jun 5-7 (2026),,Not researched,Vendor info via Town of Augusta / Harmonie Verein (theharmonie.org/jazzfest),townofaugustamo.org,townofaugustamo.org,Verified - food vendors,"4th annual Augusta wine-country jazz fest: stages, wineries, food (wine/music-leaning). St. Charles Co.",2026-06-18
Defiance St. Patrick's Day Festival,Defiance,MO,St. Charles,90,,March,Mar 14 (2026),,Not researched,Vendor info via Defiance MO (defiancemo.com/events),defiancemo.com,defiancemo.com,Verified - food trucks,"6th annual: Katy Trail 5K, parade at noon, food trucks, drink tents, vendors, live music at wineries/breweries. St. Charles Co.",2026-06-18
Deutsch Country Days,Marthasville,MO,Warren,80,,October,Mid-October 2026 (TBD; typically 3rd weekend),,Not researched,Via deutschcountrydays.org,deutschcountrydays.org,deutschcountrydays.org,Verified - vending unconfirmed,"German living-history festival at Luxenhaus Farm: 100+ crafts/demos; food run by a Boy Scout stand (outside food vendors not typical, weak fit). 2026 occurrence not yet confirmed online. St. Charles Co.",2026-06-18
St. Charles Oktoberfest,St. Charles,MO,St. Charles,110,,September,Sep 25-27 (2026),,Not researched,Vendor application via saintcharlesoktoberfest.com (Eventeny),saintcharlesoktoberfest.com,saintcharlesoktoberfest.com,Verified - food vendors,"40th yr; Frontier Park, ~150k guests: brats, funnel cakes, oompah bands; actively seeks food vendors. St. Charles Co.",2026-06-18
St. Charles Riverfest,St. Charles,MO,St. Charles,110,,July,Jul 3-4 (2026),,Not researched,Vendor application packet via stcharlescitymo.gov (Riverfest Vendor Application),stcharlescitymo.gov,stcharlescitymo.gov,Verified - food vendors,"Frontier Park: live music, carnival, food vendors, drone show, fireworks; booths first-come, health-dept compliance required. St. Charles Co.",2026-06-18
St. Charles Christmas Traditions,St. Charles,MO,St. Charles,110,,December,"Fri-Sun, Nov 27 - Dec 24 (2026)",,Not researched,Vendor info via discoverstcharles.com / City of St. Charles,discoverstcharles.com,discoverstcharles.com,Verified - food vendors,"Month-long historic Main St holiday festival: strolling characters, food vendors, roasted chestnuts & wassail. St. Charles Co.",2026-06-18
One World Fest,St. Peters,MO,St. Charles,105,,August,Aug 22-23 (2026),,Not researched,Vendor application via One World Fest (facebook.com/1WorldFest / Eventbrite),facebook.com/1WorldFest,facebook.com/1WorldFest,Verified - food vendors,"Free multicultural festival at Mid Rivers Mall, St. Peters: international food, music, art, fashion. St. Charles Co.",2026-06-18
Cottleville Irish Fest,Cottleville,MO,St. Charles,100,,March,Mar 14 (2026),,Not researched,Vendor info via City of Cottleville / Cottle Village (cottlevillage.com),cityofcottleville.com,cityofcottleville.com,Verified - food vendors,"Shamrock Run & Irish Fest in Old Town Cottleville, 11a-8p: curated food vendors (BBQ, tacos, brats), Irish dishes, live music. St. Charles Co.",2026-06-18
O'Fallon Heritage & Freedom Fest,O'Fallon,MO,St. Charles,105,,July,Jul 1-4 (2026),,Not researched,Vendor applications via ofallon.mo.us/vendor-applications (coordinator books from January; food vendors need St. Charles Co. TFF license),jchwascinski@ofallonmo.gov / 636-379-5502,heritageandfreedomfest.com,Verified - food vendors,"Big July 4th fest at Ozzie Smith Complex, O'Fallon: carnival, food vendors, fireworks. St. Charles Co.",2026-06-18
St. Charles County Fair,Wentzville,MO,St. Charles,95,,July,Jul 23-27 (2026),,Not researched,Vendor info via stcharlescofair.org or St. Charles County Fair Facebook,stcharlescofair.org,stcharlescofair.org,Verified - food vendors,"5-day fair at Rotary Park, Wentzville (4th week of July): carnival, rodeo, demo derby, food vendors. St. Charles Co.",2026-06-18
Soulard Mardi Gras,St. Louis,MO,St. Louis City,125,,February,Grand Parade Feb 14 (2026); season Jan-Feb,,Not researched,Food vendor application (PDF) via stlmardigras.org/vendor-information,stlmardigras.org,stlmardigras.org,Verified - food vendors,"Large Soulard celebration: Bud Light Grand Parade, Taste of Soulard, Pet Parade, food/drink vendors. St. Louis City.",2026-06-18
Soulard Oktoberfest,St. Louis,MO,St. Louis City,125,,October,Oct 9-10 (2026),,Not researched,Vendor info via soulard-oktoberfest.com/contacts,soulard-oktoberfest.com,soulard-oktoberfest.com,Verified - food vendors,"Soulard Market Park: German food, beer, polka/brass bands. St. Louis City.",2026-06-18
Italian Heritage Parade & Festa,St. Louis,MO,St. Louis City,125,,October,Oct 11 (2026),,Not researched,Vendor info via The Hill STL (hillstl.org),hillstl.org,hillstl.org,Verified - food vendors,"On The Hill: parade + Festa at Berra Park with local food & beverage vendors, music. St. Louis City.",2026-06-18
Festival of Nations,St. Louis,MO,St. Louis City,125,,August,Aug 29-30 (2026),,Not researched,Food + Beverage vendor application via festofnations.com/food-bev (national-cuisine focus),festofnations.com,festofnations.com,Verified - food vendors,"Tower Grove Park: 80+ countries, 100+ international food/market vendors, music, dance (large). National-cuisine theme. St. Louis City.",2026-06-18
Japanese Festival,St. Louis,MO,St. Louis City,125,,September,Sep 5-7 (2026),,Not researched,Via Missouri Botanical Garden / Japan America Society of St. Louis,missouribotanicalgarden.org,missouribotanicalgarden.org,Verified,"Missouri Botanical Garden signature festival (40+ yrs); food run by Japanese Activities Committee orgs, outside food vendors not typical (weak fit). St. Louis City.",2026-06-18
Taste of St. Louis,Clayton,MO,St. Louis,120,,August,Aug 14-16 (2026),,Not researched,Vendor info via thetastestl.com,thetastestl.com,thetastestl.com,Verified - food vendors,"Downtown Clayton: local eats, chef demos, artisan market, music; 2026 return announced (turnout-driven future uncertainty). St. Louis metro.",2026-06-18
Saint Louis Art Fair,Clayton,MO,St. Louis,120,,September,Sep 18-20 (2026),,Not researched,Food vendor & food truck applications via saintlouisartfair.com (apply early; spaces fill up),saintlouisartfair.com,saintlouisartfair.com,Verified - food trucks,"Major juried art fair, downtown Clayton; food vendor booths + food truck spaces, food trucks welcome (apply early). St. Louis metro.",2026-06-18
Grove Fest,St. Louis,MO,St. Louis City,125,,October,Early October 2026 (TBD; 2025 was Oct 4),,Not researched,Vendor application via stlgrovefest.com/vendor-application,stlgrovefest.com,stlgrovefest.com,Verified - food vendors,"The Grove neighborhood street festival: live music, food vendors. St. Louis City.",2026-06-18
Greentree Festival,Kirkwood,MO,St. Louis,120,,September,Sep 18-20 (2026),,Not researched,Food Booth Application via kirkwoodmo.org (deadline ~June 15),henkekk@kirkwoodmo.org / 314-822-5855,kirkwoodmo.org,Verified - food vendors,"Kirkwood Park: parade, live music, family activities, food booths. St. Louis metro.",2026-06-18
Let Them Eat Art,Maplewood,MO,St. Louis,122,,July,Jul 10 (2026),,Not researched,Via City of Maplewood (maplewoodmo.gov),maplewoodmo.gov,maplewoodmo.gov,Verified,"Downtown Maplewood Bastille-Day art night: 60+ artists, live music; food & drink sold by Maplewood restaurants (limited outside food-vendor fit, weak fit). St. Louis metro.",2026-06-18
St. Louis Street Food Festival,St. Louis,MO,St. Louis City,125,,August,Late August 2026 (TBD; 2025 was Aug 23),,Not researched,Food vendor application via streetfoodfests.com/event/stlouis,streetfoodfests.com,streetfoodfests.com,Verified - food trucks,"Ballpark Village: 20+ food trucks & restaurants, items $5 or less, live entertainment; food trucks welcome. St. Louis City.",2026-06-18
Brookside Art Annual,Kansas City,MO,Jackson,125,,May,May 1-3 (2026),,Not researched,Vendor info via brooksideartannual.com,brooksideartannual.com,brooksideartannual.com,Verified - food vendors,40th Brookside Art Annual: 170+ juried artists; food booths (local restaurants). Jackson Co.,2026-06-18
Kansas City Irish Fest,Kansas City,MO,Jackson,125,,September,Sep 4-6 (2026),,Not researched,"Food vendor application via kcirishfest.com/vendor-applications (Eventeny; selective; KC health permit, no beverage sales)",kcirishfest.com,kcirishfest.com,Verified - food vendors,"Crown Center & Washington Square Park: large Irish festival, food vendors (compostable supplies required). Jackson Co.",2026-06-18
Ethnic Enrichment Festival,Kansas City,MO,Jackson,125,,August,Aug 21-23 (2026),,Not researched,Vendor application via eeckc.org (Eventeny),eeckc.org,eeckc.org,Verified - food vendors,"Swope Park: one of KC's largest multicultural festivals (47th yr), international food booths. Jackson Co.",2026-06-18
Snake Saturday Parade & Festival,North Kansas City,MO,Clay,125,,March,Mar 14 (2026),,Not researched,Vendor info via snakesaturday.com/festival,snakesaturday.com,snakesaturday.com,Verified - food vendors,"North KC St. Patrick's parade & festival: ~20 vendors + food court (funnel cake, sausage, etc.). Clay Co.",2026-06-18
Liberty Fall Fest,Liberty,MO,Clay,140,,September,Sep 25-27 (2026),,Not researched,Food vendor application via Eventeny (Liberty Fall Festival 26) / City of Liberty,libertyfallfest.com,libertyfallfest.com,Verified - food vendors,"Historic Downtown Liberty: food vendors, farmers market, family activities. Clay Co.",2026-06-18
Gladstone Summertime Bluesfest,Gladstone,MO,Clay,130,,May,May 15-16 (2026),,Not researched,Vendor info via Gladstone Chamber (gladstonechamber.com/bluesfest),gladstonechamber.com,gladstonechamber.com,Verified - food vendors,"Blues festival at Linden Square, Gladstone: live blues, food vendors (brats, hot dogs, nachos). Clay Co.",2026-06-18
Kansas City Renaissance Festival,Bonner Springs,KS,Wyandotte,145,,September,Weekends Sep 5 - Oct 18 (2026),,Not researched,Vendor application + Craft Coordinator agreement via kcrenfest.com (913-721-2110),913-721-2110,kcrenfest.com,Verified - food vendors,"Renaissance festival, Bonner Springs: 7 weekends; food & artisan vendors (full-season commitment). Wyandotte Co. KS.",2026-06-18
Overland Park Fall Festival,Overland Park,KS,Johnson,135,,September,Sep 25-26 (2026),,Not researched,Vendor info via opkansas.org / Arts & Rec Foundation of Overland Park,opkansas.org,opkansas.org,Verified - food trucks,"Downtown Overland Park: artists, food trucks & local restaurants, farmers market. Johnson Co. KS.",2026-06-18
Independence Square Food Truck Festival,Independence,MO,Jackson,120,,June,Jun 12 (2026),,Not researched,,,,Verified - food trucks,"Food trucks welcome on Independence Square; family activities. KC metro lightweight capture — confirm food-truck fit, fee & application.",2026-06-18
Art in the Park,Columbia,MO,Boone,0,,June,Jun 6-7 (2026),,$700/weekend + city temp license,Food vendor application via columbiaartleague.org/artinthepark/participate (deadline ~Mar 6),columbiaartleague.org,columbiaartleague.org,Verified - food trucks,Columbia Art League art fair at Stephens Lake Park; food trucks & food tents welcome. Boone Co.,2026-06-18
Heritage Festival & Craft Show,Columbia,MO,Boone,0,,September,Sep 19-20 (2026),,Not researched,Vendor info via Columbia Parks & Rec (como.gov),573-874-7475,como.gov,Verified - food trucks,"Nifong Park heritage festival: crafts, music, living history, local food trucks. Boone Co.",2026-06-18
Pedaler's Jamboree,Boonville,MO,Cooper,25,,May,May 23-24 (2026),,Not researched,Vendor application via pedalersjamboree.com/vendors,pedalersjamboree.com,pedalersjamboree.com,Verified - food trucks,"Memorial Day rolling music festival on the Katy Trail (Boonville/Columbia); multiple food trucks, vendor apps open. Cooper Co.",2026-06-18
Magic Dragon Street Meet,Lake Ozark,MO,Miller,48,,May,May 1-2 (2026),,Not researched,Vendor info via magicdragoncarshow.com / Lake Area Chamber,magicdragoncarshow.com,magicdragoncarshow.com,Verified - food vendors,"36th annual classic-car street meet on the Bagnell Dam Strip, Lake Ozark: food vendors, shopping. Miller Co.",2026-06-18
Lake of the Ozarks Shootout,Osage Beach,MO,Camden,45,,August,Aug 29-30 (2026); street party Aug 26,,Not researched,Vendor info via lakeoftheozarksshootout.com,lakeoftheozarksshootout.com,lakeoftheozarksshootout.com,Verified - food vendors,Largest unsanctioned lake boat race; race days + Bagnell Dam Strip street party draw local food vendors. Camden Co.,2026-06-18
Land of the Ozarks Food Truck Festival,Camdenton,MO,Camden,55,,September,Sep 12-13 (2026),,Not researched,,,,Verified - food trucks,"Food trucks are the headline; fall food-truck festival. Lake of the Ozarks infill — confirm food-truck fit, fee & application.",2026-06-18
Cole Camp Oktoberfest,Cole Camp,MO,Benton,50,,September,Sep 26 (2026),,Not researched,Vendor info via Cole Camp (colecampmo.com); 660-668-2295 / lstelling@citizensfarmersbank.com,660-668-2295,colecampmo.com,Verified - food vendors,"Cole Camp German Oktoberfest: brats, kraut, craft & food booths. Benton Co.",2026-06-18
Fall Harbor Hop,Sunrise Beach,MO,Camden,55,,October,Oct 10 (2026),,Not researched,Via funlake.com / Lake Area Chamber,funlake.com,funlake.com,Verified,On-water poker run; checkpoints are 40+ waterfront restaurants/bars/marinas that serve their own food - no central food-vendor space (poor fit). Camden Co.,2026-06-18
Du Quoin State Fair,Du Quoin,IL,Perry,155,overnight,August,Aug 28 - Sep 7 (2026),,Not researched,,,,Verified - vending unconfirmed,"Illinois' second state fair: agriculture, country music, harness racing, rides & food. Deep-south IL fill.",2026-06-18
Murphysboro Apple Festival,Murphysboro,IL,Jackson,165,overnight,September,Sep 9-12 (2026),,Not researched,,,,Verified - vending unconfirmed,"S. Illinois' oldest/largest alcohol-free festival (~45k): carnival, car show, apple treats, food. Deep-south IL fill.",2026-06-18
Williamson County Fair,Marion,IL,Williamson,165,overnight,August,Aug 1-8 (2026),,Not researched,,,,Verified - vending unconfirmed,"County fair, Marion IL: livestock, grandstand, carnival, food. Deep-south IL fill.",2026-06-18
Old King Coal Festival,West Frankfort,IL,Franklin,160,overnight,May,May 7-10 (2026),,Not researched,,,,Verified - vending unconfirmed,"Downtown West Frankfort heritage festival (85th): live music, food vendors, rides. Deep-south IL fill.",2026-06-18
Union County Fair,Anna,IL,Union,180,overnight,August,Aug 21-29 (2026),,Not researched,,,,Verified - vending unconfirmed,"County fair, Anna IL: livestock, grandstand (demo derby, rodeo, harness racing), carnival. Deep-south IL fill.",2026-06-18
Centralia Balloon Fest,Centralia,IL,Marion,130,day_trip,August,Aug 21-23 (2026),,Not researched,,,,Verified - vending unconfirmed,"Free hot-air balloon festival at Fairview Park, Centralia: glows, entertainment, family day. S. IL fill.",2026-06-18
Macon County Fair,Decatur,IL,Macon,150,day_trip,June,Jun 1-7 (2026),,Not researched,,,,Verified - vending unconfirmed,"170th county fair, Decatur IL: grandstand, livestock, carnival, food. Central IL fill.",2026-06-18
Decatur Celebration,Decatur,IL,Macon,150,day_trip,August,Aug 7-9 (2026),,Not researched,,,,Verified - vending unconfirmed,"Large downtown Decatur street festival: stages, food vendors, family fun. Central IL fill.",2026-06-18
Morgan County Fair,Jacksonville,IL,Morgan,115,day_trip,July,Jul 7-12 (2026),,Not researched,,,,Verified - vending unconfirmed,"175th county fair, Jacksonville IL: grandstand, rodeo, demo derby, food. Central IL fill.",2026-06-18
Quincy Dogwood Festival,Quincy,IL,Adams,125,day_trip,May,May 2 (2026),,Not researched,,,,Verified - vending unconfirmed,"Dogwood Parade & festival, downtown Quincy on Maine St: parade, family activities, food. W-central IL fill (across river from Hannibal).",2026-06-18
Adams County Fair,Mendon,IL,Adams,130,day_trip,July,Jul 29 - Aug 4 (2026),,Not researched,,,,Verified - vending unconfirmed,"County fair near Mendon/Quincy IL (Fairfest concerts): livestock, grandstand, food. W-central IL fill.",2026-06-18
Coles County Fair,Charleston,IL,Coles,175,overnight,July,Jul 26 - Aug 2 (2026),,Not researched,,,,Verified - vending unconfirmed,"Oldest continuous fair in Illinois (est. 1854), Charleston: livestock, grandstand, carnival, food. Central IL fill.",2026-06-18
Midwest Old Threshers Reunion,Mount Pleasant,IA,Henry,230,overnight,September,Sep 3-7 (2026),,Not researched,,,,Verified - vending unconfirmed,"Huge 5-day living-history reunion (~38k), Mount Pleasant: steam engines, antique tractors, crafts; food by local church/civic groups. SE Iowa fill.",2026-06-18
